Administrator,100000000
Assistant,100000001
Buyer,100000002
Coach,100000003
Coordinator,100000004
Counselor,100000005
Director,100000006
Librarian,100000007
Owner,100000008
President,100000009
Principal,100000010
Promoter,100000011
Recepcionist,100000012
Secretary,100000013
Security Guard,100000014
Superintendent,100000015
Teacher,100000016
Vice-principal,100000017
